Source,Target,Type,Weight
18,2803,Directed,2
18,2804,Directed,2
18,2821,Directed,2
93,2838,Directed,2
93,2839,Directed,2
93,2840,Directed,2
18,2859,Directed,2
18,2860,Directed,2
93,2861,Directed,2
93,2862,Directed,2
93,2863,Directed,2
93,2874,Directed,2
18,2887,Directed,2
18,2894,Directed,2
18,2895,Directed,4
127,2897,Directed,2
127,2898,Directed,2
127,2899,Directed,2
127,2900,Directed,2
93,2912,Directed,2
18,2913,Directed,3
18,2915,Directed,3
18,2916,Directed,5
18,2917,Directed,2
18,2918,Directed,3
18,2919,Directed,2
93,2937,Directed,2
18,2953,Directed,2
18,2954,Directed,2
18,2955,Directed,2
127,2861,Directed,2
127,2992,Directed,2
127,2993,Directed,2
127,2994,Directed,2
93,3007,Directed,2
93,3008,Directed,2
127,3042,Directed,2
18,3045,Directed,2
18,3082,Directed,2
18,3083,Directed,2
93,3088,Directed,2
18,3094,Directed,2
18,3095,Directed,2
18,3096,Directed,2
93,3117,Directed,3
93,3118,Directed,3
93,3139,Directed,2
18,3086,Directed,2
18,3146,Directed,2
18,3147,Directed,2
18,3148,Directed,2
18,3149,Directed,2
93,3151,Directed,2
93,3152,Directed,2
93,3153,Directed,2
93,3111,Directed,2
93,3174,Directed,2
18,3181,Directed,2
18,3183,Directed,2
127,3200,Directed,2
18,3210,Directed,2
18,3211,Directed,2
18,3224,Directed,2
18,3225,Directed,2
18,3226,Directed,2
18,3227,Directed,2
18,3228,Directed,2
18,3229,Directed,2
18,3230,Directed,2
18,3231,Directed,2
18,3266,Directed,2
18,3267,Directed,2
18,3269,Directed,2
18,3270,Directed,2
18,3274,Directed,2
18,3275,Directed,3
18,3276,Directed,2
18,3277,Directed,2
18,3296,Directed,2
93,3297,Directed,2
18,3298,Directed,2
93,3332,Directed,2
93,3333,Directed,2
127,3339,Directed,2
127,3340,Directed,2
18,3358,Directed,2
18,3359,Directed,2
18,3360,Directed,2
18,3361,Directed,2
18,3362,Directed,2
18,3099,Directed,2
18,3363,Directed,3
18,3344,Directed,2
18,3364,Directed,2
18,3365,Directed,2
18,3366,Directed,2
18,3367,Directed,2
93,3368,Directed,2
93,3369,Directed,2
93,3370,Directed,2
93,3371,Directed,2
93,3372,Directed,2
18,3417,Directed,2
18,3322,Directed,3
18,3418,Directed,2
18,3419,Directed,2
18,3420,Directed,2
18,3440,Directed,2
18,3441,Directed,3
18,3449,Directed,2
93,3457,Directed,4
93,3458,Directed,4
93,3468,Directed,2
18,3511,Directed,2
18,3513,Directed,2
18,3514,Directed,2
18,3515,Directed,3
18,3573,Directed,2
18,3092,Directed,4
18,3484,Directed,2
18,3574,Directed,2
127,3587,Directed,2
127,3603,Directed,2
18,3607,Directed,2
18,3608,Directed,2
18,3612,Directed,4
127,3626,Directed,2
127,3627,Directed,2
127,3628,Directed,2
93,2880,Directed,2
93,3481,Directed,2
93,3661,Directed,2
18,3482,Directed,2
18,3676,Directed,2
18,3677,Directed,2
93,3678,Directed,2
93,3679,Directed,2
18,3706,Directed,2
18,3707,Directed,2
127,3714,Directed,2
18,3762,Directed,2
18,3763,Directed,2
18,3764,Directed,2
18,3765,Directed,2
18,3766,Directed,2
18,3821,Directed,2
18,3822,Directed,2
18,3823,Directed,2
18,3824,Directed,2
18,3839,Directed,2
18,3841,Directed,2
18,3856,Directed,2
18,3857,Directed,2
93,3862,Directed,2
18,3870,Directed,2
18,3871,Directed,2
18,3492,Directed,2
18,3493,Directed,3
18,3872,Directed,2
18,3873,Directed,2
18,3494,Directed,3
18,3884,Directed,2
18,3885,Directed,2
127,3887,Directed,3
18,3917,Directed,2
18,3931,Directed,2
18,3942,Directed,2
18,3971,Directed,2
18,3972,Directed,2
18,3973,Directed,2
18,3974,Directed,2
18,3975,Directed,2
127,3986,Directed,2
127,2801,Directed,2
127,3987,Directed,2
18,3993,Directed,2
127,3996,Directed,2
127,3997,Directed,2
18,4042,Directed,2
93,4046,Directed,2
18,4066,Directed,3
18,4071,Directed,2
18,4072,Directed,2
18,4073,Directed,2
18,4074,Directed,2
18,4087,Directed,2
18,2801,Directed,2
18,4088,Directed,2
18,2880,Directed,2
93,4092,Directed,2
18,4093,Directed,2
18,4094,Directed,2
18,4095,Directed,2
93,4135,Directed,2
93,4175,Directed,2
93,4176,Directed,2
93,4177,Directed,2
93,4178,Directed,2
18,4190,Directed,2
18,4191,Directed,2
18,3840,Directed,2
18,4192,Directed,2
18,4199,Directed,3
18,4218,Directed,3
18,4219,Directed,2
18,4228,Directed,3
18,4282,Directed,2
18,3115,Directed,4
18,4283,Directed,2
18,4284,Directed,2
18,4285,Directed,2
18,4286,Directed,2
127,4319,Directed,2
127,4320,Directed,2
127,4321,Directed,2
127,4322,Directed,2
93,4324,Directed,2
93,4325,Directed,2
93,4340,Directed,2
93,4341,Directed,2
93,4342,Directed,2
93,4343,Directed,2
18,4347,Directed,2
18,4377,Directed,2
18,4378,Directed,2
18,4413,Directed,2
18,4414,Directed,2
93,4454,Directed,2
93,4455,Directed,2
18,4456,Directed,2
18,3636,Directed,2
93,4457,Directed,2
93,4458,Directed,2
18,4473,Directed,2
18,4474,Directed,2
127,4493,Directed,2
127,4494,Directed,2
18,4512,Directed,2
18,4519,Directed,2
