Source,Target,Type,Weight
26,1983,Directed,3
26,1984,Directed,3
33,1988,Directed,2
33,2000,Directed,2
33,2011,Directed,2
26,2024,Directed,2
26,2025,Directed,2
26,2026,Directed,2
26,2039,Directed,2
26,2040,Directed,2
33,2091,Directed,2
33,2092,Directed,2
33,2093,Directed,2
33,2101,Directed,2
33,2103,Directed,4
33,2104,Directed,2
33,2156,Directed,3
33,2018,Directed,4
26,2183,Directed,2
26,2198,Directed,2
26,2207,Directed,2
26,2208,Directed,2
26,2209,Directed,2
26,2210,Directed,2
26,2211,Directed,2
181,2215,Directed,2
181,2216,Directed,2
181,2217,Directed,2
181,2218,Directed,2
181,2219,Directed,2
181,2220,Directed,2
181,2221,Directed,2
181,2222,Directed,2
33,2223,Directed,2
33,2224,Directed,2
33,2234,Directed,2
33,2243,Directed,2
181,2256,Directed,2
181,2257,Directed,3
181,2258,Directed,2
181,2114,Directed,2
26,2312,Directed,2
26,2364,Directed,2
26,2365,Directed,2
33,2367,Directed,2
33,2368,Directed,2
33,2369,Directed,2
33,2379,Directed,3
33,2380,Directed,3
33,2381,Directed,3
33,2382,Directed,6
33,2383,Directed,6
26,2389,Directed,2
181,2413,Directed,2
181,2414,Directed,2
181,2415,Directed,2
181,2334,Directed,3
181,2416,Directed,3
26,2453,Directed,2
26,2033,Directed,6
26,2346,Directed,2
26,2347,Directed,2
26,2470,Directed,2
26,2471,Directed,2
26,2133,Directed,3
26,2472,Directed,2
26,2478,Directed,2
181,2033,Directed,5
26,2541,Directed,2
26,2542,Directed,2
181,2103,Directed,2
33,2568,Directed,2
33,2569,Directed,2
181,2095,Directed,2
181,2591,Directed,2
26,2619,Directed,2
26,2529,Directed,3
181,2619,Directed,2
181,2529,Directed,2
33,2030,Directed,2
181,2639,Directed,2
181,2640,Directed,2
181,2641,Directed,2
181,1975,Directed,2
33,2653,Directed,2
33,2654,Directed,2
33,2655,Directed,2
33,2656,Directed,2
33,2657,Directed,2
33,2664,Directed,2
26,2680,Directed,2
181,2703,Directed,2
181,2704,Directed,2
33,2723,Directed,3
181,2731,Directed,2
181,2330,Directed,2
181,2733,Directed,2
181,2734,Directed,2
181,2735,Directed,2
181,2736,Directed,2
33,2758,Directed,2
181,2767,Directed,2
26,2772,Directed,2
181,2773,Directed,3
181,2774,Directed,3
181,2775,Directed,3
181,2777,Directed,3
33,2778,Directed,3
33,2779,Directed,3
33,2820,Directed,2
33,2821,Directed,2
33,2836,Directed,2
26,2880,Directed,2
26,2881,Directed,2
26,2882,Directed,2
26,2892,Directed,2
26,2893,Directed,2
26,2894,Directed,2
26,2895,Directed,2
33,2903,Directed,2
33,2910,Directed,2
33,2911,Directed,2
33,2912,Directed,2
33,2215,Directed,2
33,2361,Directed,2
33,2938,Directed,2
33,2939,Directed,3
181,2956,Directed,2
181,2957,Directed,2
181,2958,Directed,2
181,2959,Directed,2
181,2960,Directed,2
181,2961,Directed,2
181,2962,Directed,2
181,2377,Directed,2
181,2963,Directed,2
33,2058,Directed,2
33,2267,Directed,2
26,2999,Directed,2
26,3000,Directed,2
33,3022,Directed,2
181,3039,Directed,2
33,3043,Directed,2
33,3044,Directed,2
33,2188,Directed,3
33,3046,Directed,3
33,3077,Directed,2
33,3078,Directed,2
181,3087,Directed,2
181,2133,Directed,2
181,2903,Directed,2
181,3148,Directed,2
181,3149,Directed,2
33,3151,Directed,2
33,3152,Directed,2
181,3157,Directed,2
33,3164,Directed,2
33,3165,Directed,2
33,3166,Directed,2
33,3167,Directed,2
33,3168,Directed,2
33,3169,Directed,2
181,3171,Directed,2
33,3221,Directed,3
181,3240,Directed,2
181,3220,Directed,2
26,3264,Directed,2
181,3264,Directed,2
181,3283,Directed,2
181,3284,Directed,2
