Source,Target,Type,Weight
288,1667,Directed,2
288,1706,Directed,2
288,1707,Directed,2
288,1708,Directed,2
340,1710,Directed,2
351,1798,Directed,2
351,1799,Directed,2
351,1800,Directed,2
351,1801,Directed,2
351,1802,Directed,2
340,1798,Directed,2
340,1799,Directed,2
340,1800,Directed,2
340,1801,Directed,2
340,1802,Directed,2
288,1837,Directed,2
288,1839,Directed,2
351,1902,Directed,3
351,1903,Directed,2
351,1933,Directed,2
351,1934,Directed,2
340,1933,Directed,2
340,1934,Directed,2
288,1941,Directed,2
351,1953,Directed,2
351,1954,Directed,2
351,1955,Directed,2
340,1953,Directed,2
340,1954,Directed,2
340,1955,Directed,2
351,1976,Directed,2
340,1976,Directed,2
288,1981,Directed,2
288,1982,Directed,2
288,2029,Directed,2
288,2030,Directed,2
340,2068,Directed,2
340,2069,Directed,2
288,2073,Directed,3
351,2087,Directed,2
288,2142,Directed,2
288,2143,Directed,2
288,1798,Directed,2
288,2144,Directed,2
288,2145,Directed,2
288,2146,Directed,2
351,2152,Directed,2
351,2154,Directed,2
351,2155,Directed,2
351,2156,Directed,2
351,2157,Directed,2
340,2152,Directed,2
340,2154,Directed,2
340,2155,Directed,2
340,2156,Directed,2
340,2157,Directed,2
288,1695,Directed,2
288,2223,Directed,2
288,2231,Directed,2
288,2232,Directed,2
288,2233,Directed,2
288,2264,Directed,2
288,2265,Directed,2
288,2266,Directed,2
288,2267,Directed,2
288,2268,Directed,2
340,2270,Directed,3
340,2271,Directed,3
288,1744,Directed,2
351,2279,Directed,2
351,2280,Directed,2
351,2281,Directed,2
340,2279,Directed,2
340,2280,Directed,2
340,2281,Directed,2
351,2319,Directed,2
340,2319,Directed,2
288,2320,Directed,2
351,2324,Directed,2
351,2325,Directed,2
351,2326,Directed,2
351,2327,Directed,2
340,2324,Directed,2
340,2325,Directed,2
340,2326,Directed,2
340,2327,Directed,2
340,2331,Directed,2
340,2394,Directed,2
340,2395,Directed,2
351,2394,Directed,2
351,2395,Directed,2
340,2440,Directed,3
340,2441,Directed,3
340,2449,Directed,2
340,2450,Directed,2
288,2495,Directed,2
340,2504,Directed,2
340,2505,Directed,2
340,2506,Directed,2
340,2507,Directed,2
340,2508,Directed,2
340,2509,Directed,2
340,2510,Directed,2
340,2545,Directed,2
351,2554,Directed,2
351,2555,Directed,2
340,2554,Directed,2
340,2555,Directed,2
340,2590,Directed,2
351,2590,Directed,2
340,2726,Directed,2
340,2727,Directed,2
351,2726,Directed,2
351,2727,Directed,2
340,1902,Directed,2
340,2748,Directed,2
340,2771,Directed,2
351,2771,Directed,2
340,2471,Directed,2
351,2471,Directed,2
288,1950,Directed,2
288,2790,Directed,2
288,2791,Directed,2
