Id,Label
20,Computer and Information Science
31,Computer Science
180,Electrical Engineering
938,VP Ellipsis
939,VP
940,Verb Phrase
951,Unifying Framework for Programming Paradigms
952,π-calculus
953,T - calculus
954,LTAGs
960,fuzzy concept networks
964,ZuchtData Dienstleistungen
973,3Department
974,Chemical Abstract Machine
975,CCS
976,Formal Models
977,SNAP
978,Safe Networking with Active Packets
983,Cause and Effect
984,Type Systems for Effects
985,thesauri
991,Double - KWIC Coordinate Indexing Technique
995,LOGIC
996,COMMON
997,Coordinated Multi Multi
1001,MIS Option
1002,λ-calculus
1003,Proofs
1004,Church - Rosser
1005,Video
1006,Nuprl Proof Development System
1007,User - Level Introduction
1008,calculational predicate logic inference
1009,Nuprl
1010,Kuprl
1011,Kuprl -
1024,Theoretical Results
1025,Sound Code Generation from Hybrid System Models
1026,EDGE
1030,Feedback
1031,Tactile
1036,Inhabited Dynamical Systems
1037,integrated layered software
1038,Ω(n
1039,linear space neural network
1040,Common Element Problem
1041,Ω(log
1042,Lower Bound Result
1047,queue
1048,Contact Phone Fax
1051,Finding Matchings in the
1064,Strong Competence Hypothesis
1075,Fuzzy Linguistic Approach
1079,Grover space
1080,Quantum counting algorithm
1081,ERATO
1085,SOM
1086,Self - Organizing Map
1087,neural network
1088,LCD
1089,MIMO
1116,Causal Reasoning in Gait Analysis
1118,inverted index caching
1119,GAP - tree
1124,CSEG
1125,CSCW
1126,collaborative filtering
1134,High - Cost Banner Blindness
1137,Witas
1139,SIGMOD Record
1140,decision trees
1141,SE - tree
1142,SE - tree based Characterization of the
1149,Scalable Architecture for
1150,Scalable Architecture
1151,SABLE
1152,broad - coverage translation
1157,congruence closure
1158,Horn
1159,Horn clauses
1160,order - sorted congruence closure
1172,Dissertation Proposal
1179,Convex Hulls
1180,Convex Hull
1181,BV embedding
1182,BV
1199,sensor - fusion problem
1211,Ellipsis
1213,Tikhonov regularization method
1214,regularization
1215,Adaptive regularization
1216,Tikhonov regularization
1222,action representation
1223,Reconsiderat ion
1224,Mobile Information Device Profile
1225,Java 2 Micro Edition
1226,MOWAHS
1227,Work Across Heterogeneous System
1228,NavIT
1229,MObile
1230,MIDP
1231,Personal Digital Assistant
1232,J2ME
1233,Abstract Predicate
1234,path dictionary
1237,SPUD
1238,mFOL representation
1239,mFOL
1240,Spherical Diffusion
1241,surface modeling
1242,Gaussian function
1243,Green 's function
1244,spherical diffusion process
1245,Interactive visualization
1247,Latent - Variable
1256,TVC Model
1261,Location - selection
1262,Steiner tree
1263,Weighted Steiner tree
1264,Model of
1282,Pearls Abstract Algorithms
1284,Abstract Progressive processing
1285,meta - level controller
1286,Markov decision
1295,elliptic curve cryptography
1308,Adaptive Support
1309,CCTV
1319,Elizabeth Sklar
1320,User - Defined Functions
