Source,Target,Type,Weight
7,1340,Directed,2
7,1341,Directed,2
7,1342,Directed,2
11,1343,Directed,2
11,1344,Directed,2
11,1345,Directed,2
7,1346,Directed,3
7,1347,Directed,3
38,1354,Directed,2
38,1355,Directed,2
38,1356,Directed,2
38,1357,Directed,2
7,1361,Directed,2
7,1362,Directed,2
7,1393,Directed,3
7,1394,Directed,3
7,1415,Directed,2
38,1415,Directed,2
7,1419,Directed,2
7,1424,Directed,2
7,1425,Directed,2
7,1426,Directed,2
7,1427,Directed,3
7,1428,Directed,3
7,1429,Directed,2
38,1425,Directed,2
38,1426,Directed,2
38,1427,Directed,2
38,1428,Directed,2
38,1429,Directed,2
38,1457,Directed,2
7,1464,Directed,2
7,1470,Directed,2
7,1489,Directed,2
7,1490,Directed,2
38,1382,Directed,2
11,1382,Directed,2
7,1382,Directed,2
11,1491,Directed,2
11,1492,Directed,2
11,1493,Directed,2
11,1374,Directed,2
11,1494,Directed,2
7,1491,Directed,2
7,1492,Directed,2
7,1493,Directed,2
7,1374,Directed,2
7,1494,Directed,2
7,1497,Directed,2
11,1502,Directed,2
11,1503,Directed,2
11,1504,Directed,2
11,1505,Directed,2
7,1503,Directed,2
7,1504,Directed,2
7,1505,Directed,2
7,1506,Directed,2
7,1508,Directed,2
7,1509,Directed,2
11,1508,Directed,2
11,1509,Directed,2
11,1518,Directed,2
7,1518,Directed,2
7,1519,Directed,2
7,1520,Directed,2
7,1521,Directed,2
7,1522,Directed,2
7,1523,Directed,6
11,1526,Directed,2
7,1526,Directed,2
38,1527,Directed,2
38,1528,Directed,2
11,1530,Directed,2
7,1530,Directed,2
7,1532,Directed,2
11,1532,Directed,2
7,1537,Directed,3
11,1552,Directed,2
11,1553,Directed,2
38,1552,Directed,2
38,1553,Directed,2
7,1552,Directed,2
7,1553,Directed,2
7,1554,Directed,2
7,1555,Directed,2
38,1554,Directed,2
38,1555,Directed,2
7,1405,Directed,2
7,1569,Directed,2
7,1570,Directed,2
11,1405,Directed,2
11,1569,Directed,2
11,1570,Directed,2
7,1549,Directed,2
7,1585,Directed,2
7,1588,Directed,2
38,1588,Directed,2
7,1613,Directed,2
38,1613,Directed,2
11,1620,Directed,2
11,1621,Directed,2
11,1622,Directed,2
11,1623,Directed,2
11,1624,Directed,3
11,1625,Directed,2
11,1627,Directed,2
11,1628,Directed,2
11,1629,Directed,2
11,1414,Directed,2
7,1414,Directed,3
7,1664,Directed,2
7,1681,Directed,2
11,1681,Directed,2
38,1692,Directed,2
38,1693,Directed,2
38,1694,Directed,2
7,1698,Directed,2
7,1699,Directed,2
7,1700,Directed,2
7,1701,Directed,2
7,1705,Directed,2
7,1706,Directed,2
7,1707,Directed,2
7,1708,Directed,2
11,1713,Directed,2
11,1714,Directed,2
38,1713,Directed,2
38,1714,Directed,2
7,1713,Directed,2
7,1714,Directed,2
7,1757,Directed,2
7,1767,Directed,2
