Source,Target,Type,Weight
12,2312,Directed,2
100,2314,Directed,2
100,2315,Directed,2
100,2316,Directed,2
100,2317,Directed,2
100,2318,Directed,2
6,2338,Directed,2
100,1995,Directed,3
100,2340,Directed,2
6,2340,Directed,2
100,2358,Directed,2
100,2359,Directed,2
100,2360,Directed,2
12,2364,Directed,3
100,2367,Directed,2
100,2368,Directed,2
100,2369,Directed,2
100,2252,Directed,2
6,2367,Directed,2
6,2368,Directed,2
6,2369,Directed,2
100,2113,Directed,2
6,2113,Directed,2
12,2391,Directed,2
12,2392,Directed,2
12,2393,Directed,2
12,1454,Directed,2
6,1621,Directed,3
100,2403,Directed,2
100,2404,Directed,2
6,2405,Directed,2
100,2406,Directed,2
12,2414,Directed,2
12,2415,Directed,2
12,2416,Directed,2
12,2417,Directed,2
12,2418,Directed,2
6,2426,Directed,3
6,2429,Directed,2
12,2430,Directed,3
12,2431,Directed,3
12,2165,Directed,3
6,2435,Directed,2
6,2436,Directed,2
6,2437,Directed,2
6,1988,Directed,3
6,2447,Directed,2
6,1719,Directed,2
6,2449,Directed,2
6,2450,Directed,2
6,1706,Directed,3
100,2474,Directed,2
100,2475,Directed,2
100,2476,Directed,2
100,2477,Directed,2
6,2474,Directed,2
6,2475,Directed,2
6,2476,Directed,2
6,2477,Directed,2
6,2491,Directed,3
6,2514,Directed,2
6,2515,Directed,3
6,2516,Directed,2
6,2517,Directed,2
6,2518,Directed,2
6,2519,Directed,2
6,2520,Directed,2
6,2521,Directed,2
6,2318,Directed,2
6,2522,Directed,2
100,2525,Directed,2
6,2525,Directed,3
100,2541,Directed,3
100,2542,Directed,2
6,2541,Directed,3
6,2542,Directed,2
12,2543,Directed,4
12,2544,Directed,3
12,2545,Directed,3
12,2546,Directed,3
100,2561,Directed,2
100,2562,Directed,2
100,2563,Directed,2
12,2568,Directed,2
12,2569,Directed,2
12,2570,Directed,2
12,2571,Directed,2
12,2579,Directed,2
12,2580,Directed,2
12,1890,Directed,2
12,2581,Directed,2
12,1381,Directed,2
12,2582,Directed,2
12,2583,Directed,2
