Source,Target,Type,Weight
28,1458,Directed,2
28,1466,Directed,2
28,1471,Directed,2
28,1514,Directed,2
124,1529,Directed,2
124,1530,Directed,2
28,1534,Directed,3
28,1474,Directed,3
28,1535,Directed,2
28,1555,Directed,3
28,1556,Directed,3
28,1557,Directed,3
28,1558,Directed,3
28,1559,Directed,3
28,1560,Directed,3
28,1574,Directed,2
28,1586,Directed,2
28,1632,Directed,2
28,1633,Directed,2
28,1634,Directed,2
441,1660,Directed,2
441,1661,Directed,2
441,1662,Directed,2
124,1671,Directed,2
124,1672,Directed,2
28,1690,Directed,2
28,1726,Directed,2
28,1728,Directed,2
124,1734,Directed,2
28,1761,Directed,2
28,1483,Directed,2
124,1772,Directed,2
124,1773,Directed,3
124,1774,Directed,3
124,1775,Directed,3
124,1776,Directed,3
124,1777,Directed,3
28,1778,Directed,2
28,1779,Directed,2
28,1780,Directed,2
28,1781,Directed,2
28,1782,Directed,2
28,1788,Directed,2
441,1754,Directed,2
28,1818,Directed,3
28,1819,Directed,3
441,1832,Directed,2
441,1833,Directed,2
441,1834,Directed,2
441,1835,Directed,2
441,1836,Directed,2
28,1852,Directed,2
441,1860,Directed,2
441,1863,Directed,3
441,1864,Directed,3
441,1866,Directed,3
441,1867,Directed,3
441,1868,Directed,3
28,1869,Directed,3
28,1870,Directed,3
124,1912,Directed,2
124,1913,Directed,2
124,1946,Directed,2
124,1947,Directed,2
28,1962,Directed,2
28,1973,Directed,3
28,1974,Directed,2
28,1978,Directed,2
28,1979,Directed,2
124,1607,Directed,4
124,1790,Directed,2
124,1990,Directed,2
124,1991,Directed,3
28,1608,Directed,2
28,2007,Directed,2
124,2015,Directed,2
124,1449,Directed,2
28,2016,Directed,2
124,2017,Directed,2
28,2038,Directed,2
28,2039,Directed,2
28,1549,Directed,3
28,2043,Directed,3
441,2054,Directed,2
441,2055,Directed,2
441,2056,Directed,2
441,2057,Directed,2
124,2054,Directed,2
124,2055,Directed,2
124,2056,Directed,2
124,2057,Directed,2
28,2058,Directed,2
441,2060,Directed,2
441,2061,Directed,2
441,2062,Directed,2
28,2064,Directed,2
28,2065,Directed,2
124,2067,Directed,3
124,1608,Directed,4
441,2083,Directed,2
441,2100,Directed,2
441,2101,Directed,2
28,2102,Directed,2
28,2103,Directed,2
28,2104,Directed,2
124,2108,Directed,2
28,2112,Directed,2
28,2113,Directed,2
28,2114,Directed,2
28,2115,Directed,2
28,2116,Directed,2
28,2117,Directed,2
28,2140,Directed,3
441,2150,Directed,2
441,1688,Directed,2
441,2161,Directed,2
441,2172,Directed,2
441,2173,Directed,2
28,2180,Directed,2
28,2199,Directed,2
28,2200,Directed,2
28,2201,Directed,2
441,2203,Directed,2
28,2238,Directed,2
28,2239,Directed,2
28,2240,Directed,2
28,2241,Directed,2
28,2242,Directed,2
28,1846,Directed,2
124,2243,Directed,2
124,1789,Directed,2
124,2257,Directed,2
28,2275,Directed,2
28,2276,Directed,2
28,2277,Directed,2
441,2283,Directed,2
124,1508,Directed,2
28,2096,Directed,2
28,2291,Directed,2
441,2293,Directed,2
124,2296,Directed,2
28,2210,Directed,2
28,2314,Directed,2
441,2224,Directed,2
441,2349,Directed,2
441,2350,Directed,2
441,2351,Directed,2
28,2365,Directed,2
28,2366,Directed,2
124,2389,Directed,2
441,2389,Directed,2
124,2146,Directed,2
124,2398,Directed,2
124,2399,Directed,2
124,2400,Directed,2
28,2401,Directed,2
441,2439,Directed,2
441,2440,Directed,2
441,2441,Directed,2
441,2442,Directed,2
28,2463,Directed,2
28,2474,Directed,2
28,2519,Directed,2
28,2520,Directed,2
28,2522,Directed,2
28,1519,Directed,2
28,2523,Directed,2
441,2527,Directed,3
28,2597,Directed,2
28,2598,Directed,2
28,2599,Directed,2
28,2600,Directed,2
28,2601,Directed,2
441,2627,Directed,2
28,2708,Directed,2
28,2709,Directed,2
441,2712,Directed,2
441,2713,Directed,2
28,2714,Directed,2
124,2743,Directed,2
124,2006,Directed,2
124,2772,Directed,2
124,1642,Directed,2
124,2773,Directed,2
124,1639,Directed,2
28,2774,Directed,2
124,2782,Directed,2
28,2784,Directed,3
28,2785,Directed,3
28,2791,Directed,2
28,2792,Directed,2
124,2795,Directed,2
28,1878,Directed,2
28,2807,Directed,2
28,2808,Directed,2
124,2836,Directed,2
