Source,Target,Type,Weight
99,1050,Directed,3
99,1051,Directed,5
99,1052,Directed,3
99,1053,Directed,3
99,1073,Directed,2
200,1100,Directed,2
200,1101,Directed,2
99,1113,Directed,3
99,1114,Directed,3
99,1150,Directed,2
99,1152,Directed,2
99,1153,Directed,2
99,1154,Directed,2
99,1164,Directed,2
200,1198,Directed,2
200,1199,Directed,2
200,1200,Directed,2
200,1201,Directed,2
200,1202,Directed,2
200,1203,Directed,2
116,1223,Directed,2
200,1224,Directed,2
200,1231,Directed,3
99,1241,Directed,2
99,1242,Directed,3
99,1308,Directed,2
99,1309,Directed,2
99,1314,Directed,2
200,1316,Directed,2
200,1317,Directed,2
200,1318,Directed,2
116,1325,Directed,2
116,1328,Directed,2
99,1346,Directed,2
200,1365,Directed,2
99,1380,Directed,2
116,1388,Directed,2
116,1439,Directed,2
116,1440,Directed,2
116,1065,Directed,2
99,1065,Directed,3
99,1463,Directed,3
200,1466,Directed,2
200,1467,Directed,2
200,1468,Directed,2
200,1469,Directed,2
99,1466,Directed,2
99,1467,Directed,2
99,1468,Directed,2
99,1469,Directed,2
116,1489,Directed,2
116,1521,Directed,2
99,1203,Directed,2
99,1200,Directed,2
99,1529,Directed,2
200,1529,Directed,2
116,1538,Directed,2
116,1539,Directed,2
116,1540,Directed,2
116,1541,Directed,2
116,1058,Directed,2
116,1070,Directed,2
116,1570,Directed,2
99,1400,Directed,2
99,1583,Directed,2
116,1588,Directed,2
116,1589,Directed,2
99,1658,Directed,2
99,1659,Directed,2
99,1680,Directed,2
99,1686,Directed,2
116,1700,Directed,2
99,1700,Directed,2
200,1713,Directed,2
200,1714,Directed,2
200,1715,Directed,3
200,1716,Directed,3
200,1717,Directed,3
200,1732,Directed,2
200,1733,Directed,2
200,1734,Directed,2
200,1533,Directed,3
99,1744,Directed,2
116,1758,Directed,2
200,1775,Directed,2
116,1668,Directed,2
116,1792,Directed,2
116,1632,Directed,2
99,1805,Directed,3
116,1815,Directed,2
116,1816,Directed,2
200,1817,Directed,2
116,1829,Directed,2
116,1623,Directed,2
116,1831,Directed,2
116,1834,Directed,2
200,1668,Directed,3
200,1852,Directed,3
200,1901,Directed,2
99,1908,Directed,2
99,1909,Directed,2
99,1912,Directed,2
200,1112,Directed,2
200,1935,Directed,2
99,1942,Directed,2
200,1943,Directed,2
200,1944,Directed,2
200,1945,Directed,2
116,1950,Directed,2
99,1952,Directed,2
99,1953,Directed,2
200,1315,Directed,2
200,1251,Directed,2
99,1097,Directed,2
99,1425,Directed,2
99,1962,Directed,2
99,1963,Directed,2
99,1964,Directed,2
200,1984,Directed,2
99,1985,Directed,3
116,1143,Directed,2
116,2000,Directed,2
116,2001,Directed,2
116,2016,Directed,2
99,1118,Directed,2
99,1184,Directed,2
200,1252,Directed,2
99,2054,Directed,2
99,2055,Directed,2
200,1065,Directed,2
200,1353,Directed,2
200,1761,Directed,2
200,2056,Directed,2
200,1097,Directed,2
99,1093,Directed,2
