Source,Target,Type,Weight
14,492,Directed,96
30,500,Directed,2
30,501,Directed,2
30,506,Directed,2
30,507,Directed,2
30,511,Directed,2
30,512,Directed,2
30,513,Directed,2
30,514,Directed,2
30,554,Directed,4
30,555,Directed,2
30,556,Directed,2
30,557,Directed,2
30,558,Directed,2
137,578,Directed,2
30,580,Directed,2
40,595,Directed,2
40,596,Directed,3
40,597,Directed,3
40,598,Directed,2
40,619,Directed,2
30,619,Directed,2
30,597,Directed,2
41,626,Directed,3
41,630,Directed,2
30,634,Directed,2
30,635,Directed,2
30,636,Directed,2
30,640,Directed,2
30,641,Directed,2
30,642,Directed,2
30,565,Directed,2
30,643,Directed,2
40,650,Directed,5
40,657,Directed,2
40,659,Directed,2
14,664,Directed,4
14,665,Directed,2
14,666,Directed,2
14,667,Directed,2
14,668,Directed,2
14,669,Directed,2
38,670,Directed,2
38,671,Directed,2
38,672,Directed,2
38,673,Directed,4
14,675,Directed,2
180,683,Directed,2
138,683,Directed,2
138,726,Directed,2
138,727,Directed,2
14,744,Directed,2
14,590,Directed,11
14,751,Directed,2
14,752,Directed,2
14,753,Directed,2
14,754,Directed,2
14,755,Directed,2
14,756,Directed,2
138,760,Directed,3
138,761,Directed,2
138,762,Directed,2
40,747,Directed,3
40,748,Directed,2
40,763,Directed,2
30,773,Directed,2
30,774,Directed,2
30,775,Directed,2
30,776,Directed,2
30,777,Directed,2
30,778,Directed,2
30,783,Directed,2
30,800,Directed,2
30,801,Directed,2
40,492,Directed,3
30,492,Directed,7
41,809,Directed,2
30,811,Directed,2
38,834,Directed,2
38,835,Directed,2
14,841,Directed,2
14,842,Directed,2
41,852,Directed,2
41,853,Directed,2
41,854,Directed,2
41,855,Directed,2
41,856,Directed,2
30,859,Directed,2
30,860,Directed,2
30,866,Directed,2
30,868,Directed,2
14,869,Directed,2
14,870,Directed,2
14,871,Directed,2
14,872,Directed,2
14,873,Directed,2
38,905,Directed,3
14,914,Directed,2
14,915,Directed,2
14,672,Directed,2
40,920,Directed,2
30,920,Directed,2
30,922,Directed,2
30,923,Directed,2
30,924,Directed,2
38,929,Directed,2
137,930,Directed,2
137,931,Directed,2
38,943,Directed,2
30,943,Directed,3
180,964,Directed,2
180,965,Directed,2
180,966,Directed,2
180,967,Directed,2
180,498,Directed,3
180,968,Directed,2
30,498,Directed,3
38,510,Directed,2
38,980,Directed,2
38,981,Directed,2
138,510,Directed,4
138,980,Directed,2
138,981,Directed,2
14,943,Directed,2
14,990,Directed,2
30,1006,Directed,5
30,1007,Directed,5
30,1008,Directed,3
30,1009,Directed,3
38,1028,Directed,2
255,1036,Directed,3
255,1038,Directed,3
180,1048,Directed,2
180,1049,Directed,2
138,1055,Directed,2
138,1056,Directed,2
30,1057,Directed,2
38,1060,Directed,2
30,590,Directed,7
30,1068,Directed,3
14,1068,Directed,2
14,554,Directed,2
808,1077,Directed,2
14,1088,Directed,3
41,1091,Directed,2
38,650,Directed,2
38,1110,Directed,2
30,650,Directed,3
30,1110,Directed,2
40,1110,Directed,2
138,650,Directed,2
138,1110,Directed,2
14,1132,Directed,3
14,1133,Directed,3
30,1132,Directed,3
30,1133,Directed,2
30,1151,Directed,2
180,1196,Directed,2
180,1197,Directed,3
180,1198,Directed,3
180,1199,Directed,2
180,1200,Directed,2
180,1201,Directed,2
180,1202,Directed,2
180,1203,Directed,2
180,1204,Directed,2
138,1217,Directed,3
138,1218,Directed,3
138,498,Directed,5
38,642,Directed,2
41,1219,Directed,2
137,1240,Directed,2
137,1241,Directed,2
137,1243,Directed,2
14,1248,Directed,2
14,1249,Directed,2
30,589,Directed,2
30,1253,Directed,2
30,1254,Directed,2
30,1255,Directed,2
30,1256,Directed,2
30,510,Directed,2
14,1256,Directed,2
14,510,Directed,2
30,1274,Directed,2
30,552,Directed,2
38,1283,Directed,3
14,1295,Directed,2
14,1296,Directed,2
14,1297,Directed,2
14,498,Directed,7
14,1298,Directed,2
40,1315,Directed,2
138,1316,Directed,2
138,1317,Directed,2
138,1318,Directed,2
138,1319,Directed,2
138,1320,Directed,2
138,1321,Directed,2
138,1322,Directed,2
137,1348,Directed,2
137,1349,Directed,3
137,1350,Directed,2
30,1360,Directed,2
138,1361,Directed,2
808,1363,Directed,2
40,1372,Directed,2
14,1384,Directed,2
14,1385,Directed,2
30,1389,Directed,2
30,1390,Directed,2
14,1393,Directed,3
255,1394,Directed,3
255,1395,Directed,3
30,1396,Directed,2
38,1420,Directed,2
14,1421,Directed,3
14,1425,Directed,3
14,1426,Directed,2
14,1427,Directed,2
138,492,Directed,2
138,1425,Directed,4
138,590,Directed,2
138,1426,Directed,2
138,1427,Directed,2
180,1428,Directed,2
180,1429,Directed,2
180,554,Directed,2
180,1430,Directed,2
137,554,Directed,2
