Source,Target,Type,Weight
21,751,Directed,2
22,752,Directed,2
21,752,Directed,2
21,757,Directed,2
21,758,Directed,2
21,759,Directed,2
21,761,Directed,2
21,762,Directed,2
59,779,Directed,2
59,780,Directed,2
59,781,Directed,2
59,782,Directed,2
21,796,Directed,2
21,797,Directed,2
21,776,Directed,16
21,772,Directed,3
90,804,Directed,2
90,806,Directed,2
22,815,Directed,2
146,840,Directed,2
146,842,Directed,2
146,843,Directed,2
90,845,Directed,3
90,821,Directed,2
90,846,Directed,2
90,775,Directed,4
186,871,Directed,2
186,872,Directed,2
146,874,Directed,2
21,881,Directed,2
21,882,Directed,2
21,883,Directed,2
21,884,Directed,5
182,885,Directed,2
21,885,Directed,2
146,886,Directed,5
21,886,Directed,3
146,748,Directed,2
146,896,Directed,2
90,776,Directed,4
90,897,Directed,2
22,898,Directed,2
22,776,Directed,5
22,899,Directed,2
21,900,Directed,2
186,901,Directed,2
186,775,Directed,2
146,902,Directed,2
146,903,Directed,2
146,904,Directed,2
146,905,Directed,2
146,906,Directed,2
262,927,Directed,2
271,934,Directed,2
271,776,Directed,3
182,775,Directed,2
182,943,Directed,2
182,944,Directed,2
22,956,Directed,2
22,957,Directed,2
22,958,Directed,2
22,959,Directed,2
22,960,Directed,2
22,961,Directed,2
186,795,Directed,2
186,965,Directed,2
22,795,Directed,2
22,965,Directed,2
22,966,Directed,2
21,969,Directed,2
21,874,Directed,3
146,977,Directed,2
146,776,Directed,11
102,978,Directed,2
102,979,Directed,2
102,980,Directed,2
102,981,Directed,2
271,982,Directed,2
271,983,Directed,2
271,984,Directed,2
271,985,Directed,2
21,1007,Directed,2
21,1008,Directed,2
21,1009,Directed,2
21,1010,Directed,2
21,1011,Directed,2
21,1012,Directed,2
271,1015,Directed,2
271,1017,Directed,2
21,1015,Directed,3
21,1017,Directed,2
21,1054,Directed,5
21,1067,Directed,2
21,1068,Directed,2
21,1069,Directed,2
90,1072,Directed,2
90,1073,Directed,2
21,1072,Directed,2
21,1073,Directed,2
21,1085,Directed,2
21,1086,Directed,2
21,1087,Directed,3
21,1088,Directed,2
21,775,Directed,4
21,1095,Directed,2
21,1110,Directed,2
21,1111,Directed,2
21,1112,Directed,2
21,747,Directed,2
21,1113,Directed,2
21,1114,Directed,2
22,1121,Directed,2
22,1122,Directed,2
22,1123,Directed,2
22,1124,Directed,2
22,1125,Directed,2
262,1127,Directed,2
21,1128,Directed,3
21,1139,Directed,2
21,1140,Directed,2
21,1141,Directed,2
182,1160,Directed,2
182,1161,Directed,2
21,1163,Directed,2
21,1164,Directed,2
182,1170,Directed,2
182,1171,Directed,2
182,1172,Directed,2
182,1173,Directed,2
182,1174,Directed,2
59,1196,Directed,4
21,1197,Directed,2
21,1198,Directed,2
21,922,Directed,2
21,821,Directed,2
21,1199,Directed,2
186,1202,Directed,2
186,776,Directed,2
21,1236,Directed,2
21,1237,Directed,2
21,1239,Directed,2
21,1244,Directed,2
21,1245,Directed,2
21,1246,Directed,2
21,1247,Directed,2
21,1248,Directed,2
59,1258,Directed,2
