Id,Label
1786,infant behaviour recognition scheme
1790,image fusion
1791,structural information preservation
1806,interval valued fuzzy sets
1807,type- fuzzy sets
1808,intuitionistic fuzzy sets
1809,intuitionistic fuzzy set theory
1811,Segment texture
1812,Fuzzy Texture Spectrum
1813,Fuzzy Texture Unit
1848,computational theory
1849,script recognition
1850,Boolean Neural Network
1851,Field Programming Gate Array FPGA
1852,Boolean k - nearest neighbor
1862,universal implication operators
1880,SVD theory
1881,judge - by - mistake rate
1882,mobile - customer identity recognition approach
1895,Discriminant Component Analysis DCA
1896,supervised - learning subspace projection method
1898,chaotic genetic algorithm CGA
1899,NRS - CGA - SVR
1900,financial forecasting
1903,biological neural network
1905,fuzzyfication
1906,Face Feature Lines
1907,Karhunen Love transformation
1908,Pulse Coupled Neural Network Features
1925,Cellular Neural
1926,Logistic chaotic sequence
1927,Network Architecture
1931,auto - threshold confirming segmentation algorithm
1943,interval - valued intuitionistic fuzzy probabilistic sets
1944,correlation coefficient
1951,Naive Bayes
1952,echocardiogram
1956,rough set theory
1959,binary
2016,Active Horizontal Levels AHLs
2017,Horizontal Levels HLs
2032,competitive neural network
2047,digital shape sampling
2048,structural molecular biology
2067,Magnetised Iron Neutrino Detector MIND
2074,variance - based sorting initial pattern library algorithm
2075,SOM
2076,random sampling algorithm
2087,queue transformation
2088,wavelet transformation
2092,Binary Particle Swarm Optimization BPSO
2094,Entropy based Occlusion Removal
2095,Dual Tree Complex Wavelet Transform
2135,Big Bang Theory
2136,Markov Random Field
2138,Detection Distortion - invariant
2139,Minimum Noise
2140,Correlation Energy MINACE
2141,shift - invariant distortion - invariant Synthetic Aperture Radar SAR
2156,Minimal Learning Machine MLM
2157,Least - Squares Support
2158,Vector Machine LSSVM
2159,Multi - layer Perceptron MLP Extreme Learning Machine ELM
2160,induction motor
2161,Motor Current Signature Analysis MCSA
2162,squirrel - cage induction motor
2175,Toll - like receptor family
2183,cardiovascular
2187,Yang
2188,Fisher criterion ratio
2189,neural network fuzzy analysis
2190,automatic identification accuracy
2202,Prognosis Decision System PDS
2211,biometric - based Iris segmentation system
2217,minimum relative entropy MRE
2218,mean square error MSE
2229,Neural model Invariant pattern recognition Rotation normalization
2230,rotation normalization
2231,neural model
2238,de - correlation stretch
2239,palm vein
2240,-D wavelet tools
2241,histogram equalization
2253,statistical
2264,Microscopic Observation Drug Susceptibility MODS
2266,theory of robust statistics
2267,vector directional filtering
2286,transformation - invariantly
2287,block - subdivision algorithm
2288,intersection matching distance
2291,semantic model - fitting operators
2301,spatial filters
2304,Friedrich - Alexander Universitt
2305,Max - Planck
2306,Segmentation Bi - modal
2307,Hopfield neural network
2310,equational calculus
2311,inf - R
2312,formal theory of fuzzy relations
2313,sup - T
2345,adaptive control
2346,time series prediction
2359,vision - based inspection method
2360,BP neural classifier
2381,Arabic
2382,HMM - FNN model
2383,fuzzy rule modeling
2388,curvelet transform
2393,N - glycosylation state
2406,structure - function relationship
2407,Quartus II system
2432,Fuzzy C - means classification
2433,Mask based features
2434,heuristic function
2435,Mosaic textures
2439,matched filtering
2440,ground penetrating radar
2441,Second order correlation
2453,bio - metric
2454,Bio - metrics system
2455,Valle dAosta highway
2456,adaptive fuzzy logic systems
2482,ego - motion polar transformation
2490,binary pattern LBP
2492,Lai -
2493,Bexzier
2494,Pra - jam - yam
2495,Kra - Jung - Taa - Aoy
2496,Progressive Iterative Approximation PIA algorithm
2502,side - view face authentication method
2503,extraction wavelet decomposition
2504,profile
2505,subset splitting
