Source,Target,Type,Weight
4,2623,Directed,29
4,2962,Directed,10
55,2623,Directed,9
4,3269,Directed,9
55,2962,Directed,8
4,3291,Directed,8
55,2621,Directed,7
4,3018,Directed,7
25,3057,Directed,7
25,3557,Directed,7
25,3558,Directed,7
25,2962,Directed,7
4,2621,Directed,6
4,2747,Directed,6
15,2874,Directed,6
4,2799,Directed,6
96,2874,Directed,6
4,2552,Directed,5
132,2590,Directed,5
134,2590,Directed,5
4,2598,Directed,5
4,2675,Directed,5
4,2729,Directed,5
4,2796,Directed,5
55,3018,Directed,5
4,3086,Directed,5
4,2626,Directed,5
55,3291,Directed,5
4,2882,Directed,5
55,2553,Directed,4
4,2568,Directed,4
4,2583,Directed,4
4,2584,Directed,4
4,2597,Directed,4
55,2597,Directed,4
4,2622,Directed,4
55,2660,Directed,4
4,2679,Directed,4
55,2679,Directed,4
95,2684,Directed,4
4,2755,Directed,4
4,2758,Directed,4
96,2771,Directed,4
15,2771,Directed,4
4,2836,Directed,4
55,2528,Directed,4
55,2626,Directed,4
132,2675,Directed,4
4,3135,Directed,4
55,3135,Directed,4
