edge_id,from_id,to_id,nums
487,966,675,2
488,966,676,2
489,966,677,2
490,103,678,2
491,103,679,2
492,973,159,2
493,973,680,2
494,973,681,2
495,973,682,2
496,977,684,2
497,977,644,2
498,977,685,2
499,977,686,2
500,977,687,2
501,981,689,2
502,981,690,2
503,981,691,2
504,981,692,2
505,644,694,2
506,365,694,2
507,988,264,2
508,849,264,2
509,374,264,2
510,995,699,2
511,995,700,3
512,995,701,2
513,995,702,2
514,995,569,2
515,995,703,2
516,1007,707,2
517,1007,708,2
518,209,709,2
519,209,710,2
520,209,711,2
521,209,712,2
522,365,715,2
523,636,716,2
524,1015,716,2
525,1019,719,2
526,1022,721,2
527,1022,722,2
528,1028,723,2
529,1028,724,2
530,1028,725,3
531,1028,726,2
532,1028,331,2
533,1028,727,2
534,1028,728,2
535,733,723,2
536,733,724,2
537,733,725,3
538,733,726,2
539,733,331,2
540,733,727,2
541,733,728,2
542,1034,732,2
543,1034,733,2
544,1047,177,2
545,1047,742,2
546,1047,743,2
547,1047,744,2
548,1047,745,2
549,1047,746,2
550,1059,753,2
551,1061,753,2
552,835,754,2
553,835,755,2
554,835,756,2
555,1068,760,2
556,1068,761,2
557,1069,760,2
558,1069,761,2
559,1079,768,2
560,1079,769,2
561,1079,770,2
562,1079,771,2
563,1081,768,2
564,1081,769,2
565,1081,770,2
566,1081,771,2
567,1086,773,2
568,1095,774,2
569,1095,775,2
570,1095,776,2
571,1097,774,2
572,1097,775,2
573,1097,776,2
574,1098,774,2
575,1098,775,2
576,1098,776,2
577,503,777,2
578,503,21,2
579,503,778,2
580,1104,781,2
581,1106,782,2
582,1106,783,2
583,103,786,2
584,1111,786,2
585,1124,798,2
586,1124,799,2
587,1126,798,2
588,1126,799,2
589,1129,801,2
590,1132,802,2
591,1133,802,2
592,1135,802,2
593,1136,803,2
594,1137,803,2
595,1141,805,2
596,1154,815,2
597,1154,816,2
598,1154,817,2
599,1154,818,2
600,1161,824,2
601,1161,825,2
602,1161,826,2
603,1167,827,2
604,1168,827,2
605,57,827,2
606,143,827,2
607,1169,827,2
608,1171,829,2
609,1171,830,2
610,1171,831,2
611,1171,832,2
612,1171,797,2
613,1174,829,2
614,1174,830,2
615,1174,831,2
616,1174,832,2
617,1174,797,2
618,57,833,2
619,57,834,2
620,57,835,2
621,103,458,2
622,1190,847,2
623,1190,848,2
624,1200,852,2
625,1200,853,2
626,1200,854,2
627,1210,860,2
628,1222,863,2
629,1222,864,2
630,1222,865,2
631,1225,863,2
632,1225,864,2
633,1225,865,2
634,835,863,2
635,835,864,2
636,835,865,2
637,1233,873,2
638,1234,873,2
639,1241,879,2
640,1241,880,2
641,1241,881,2
642,1249,882,2
643,1249,644,2
644,1249,883,2
645,1249,884,2
646,1249,885,2
647,103,897,2
648,103,444,2
649,103,898,2
650,41,902,2
651,1270,902,2
652,1272,903,2
653,374,904,2
654,374,905,2
655,206,904,2
656,206,905,2
657,1280,909,2
658,1280,910,2
659,1280,911,2
660,1280,912,2
661,1280,913,2
662,1281,909,2
663,1281,910,2
664,1281,911,2
665,1281,912,2
666,1281,913,2
667,1289,914,2
668,1289,198,2
669,1289,646,2
670,1289,915,2
671,1289,690,2
672,1289,916,2
673,1292,917,2
674,1292,918,2
675,1298,919,2
676,1298,35,2
677,1298,920,2
678,1298,921,2
679,849,922,2
680,849,923,2
681,849,924,2
682,849,925,2
683,849,926,2
684,849,927,2
685,849,631,2
686,103,922,2
687,103,923,2
688,103,924,2
689,103,925,2
690,103,926,2
691,103,927,2
692,103,631,2
693,1308,928,2
694,1309,929,2
695,1310,929,2
696,1319,935,2
697,1319,936,2
698,1319,937,2
699,1319,938,2
700,1329,945,2
701,1329,946,2
702,1331,945,2
703,1331,946,2
704,1334,947,2
705,1334,948,2
706,1334,949,2
707,1334,950,2
708,440,953,2
709,440,955,2
710,1341,953,2
711,1341,955,2
712,1349,959,2
713,1349,960,2
714,1349,961,2
715,1357,968,2
716,1358,968,2
717,1359,968,2
718,1360,968,2
719,1361,968,2
720,333,971,2
721,333,972,2
722,152,976,2
723,1373,579,2
724,1373,977,2
725,1373,978,2
726,246,979,2
727,246,980,2
728,1379,979,2
729,1379,980,2
730,1387,988,2
731,1388,988,2
732,1390,988,2
733,1402,999,2
734,1402,1000,2
735,1402,1001,2
736,1402,1002,2
737,1402,1003,2
738,103,999,2
739,103,1000,2
740,103,1001,2
741,103,1002,2
742,103,1003,2
743,1422,1015,2
744,1425,1017,2
745,1426,1017,2
746,1432,1022,2
747,1434,1023,2
748,1435,1023,2
749,1437,1023,2
750,1438,1023,2
751,1442,1026,2
752,57,1026,2
753,1443,1027,2
754,1445,1028,2
755,1445,1029,2
756,152,36,2
757,152,75,2
758,152,743,2
759,326,36,2
760,326,743,2
761,104,36,2
762,104,75,2
763,104,743,2
764,1458,36,2
765,1458,75,2
766,1458,743,2
767,1460,1037,2
768,1461,1037,2
769,1462,1037,2
770,1463,1037,2
771,103,1038,3
772,103,1039,3
773,103,1040,2
774,103,1041,2
775,1473,1046,2
776,1485,1056,2
777,1498,1066,2
778,1498,1067,2
779,1513,1079,2
780,1513,1080,2
781,1515,1079,2
782,1515,1080,2
783,1533,1092,2
784,1533,1093,2
785,240,1092,2
786,240,1093,2
787,1545,414,2
788,1545,1103,2
789,1545,1104,2
790,1545,1105,2
791,1545,1106,2
792,103,1107,2
793,103,1108,2
794,103,395,2
795,1552,1107,2
796,1552,1108,2
797,1552,395,2
798,1561,1117,2
799,1561,1118,2
800,1563,1117,2
801,1563,1118,2
802,1581,1132,2
803,1581,427,2
804,440,1133,2
805,440,1134,2
806,440,1135,2
807,1587,1138,2
808,1587,1139,2
809,151,1142,2
810,1595,1143,2
811,1595,1144,2
812,1598,15,2
813,1171,1152,2
814,1610,1153,2
815,1613,1154,2
816,1613,1155,2
817,1615,1154,2
818,1615,1155,2
819,1616,1154,2
820,1616,1155,2
821,1617,1154,2
822,1617,1155,2
823,1618,1154,2
824,1618,1155,2
825,374,1156,2
826,374,1157,2
827,1625,1158,2
828,1625,1159,2
829,1625,1160,2
830,1625,1161,2
831,1627,1158,2
832,1627,1159,2
833,1627,1160,2
834,1627,1161,2
835,1629,1158,2
836,1629,1159,2
837,1629,1160,2
838,1629,1161,2
839,1636,1165,2
840,1561,1166,2
841,1561,1167,2
842,1561,1168,2
843,1561,1169,2
844,849,1166,2
845,849,1167,2
846,849,1168,2
847,849,1169,2
848,57,1185,2
849,57,1186,2
850,1659,1185,2
851,1659,1186,2
852,103,1193,2
853,103,1194,2
854,103,1195,3
855,103,1196,2
856,1671,1197,2
857,1671,458,2
858,1673,1197,2
859,1673,458,2
860,374,1201,2
861,1677,1201,2
862,1681,1202,2
863,1681,1203,2
864,1681,1204,2
865,1681,1205,2
866,1685,1206,2
867,57,1207,2
868,160,1207,2
869,1687,1207,2
870,1695,1214,2
871,1708,1224,2
872,1708,1225,2
873,1708,1226,2
874,1722,1232,2
875,1722,1233,2
876,1722,1234,2
877,1722,15,2
878,1722,1235,2
879,1722,1236,2
880,1724,1237,2
881,1726,1238,2
882,1729,1239,2
883,1729,525,2
884,1729,1240,2
885,1729,304,2
886,1729,1241,2
887,1731,1239,2
888,1731,525,2
889,1731,1240,2
890,1731,304,2
891,1731,1241,2
892,1738,1246,2
893,1738,1247,2
894,1738,1248,2
895,805,1246,2
896,805,1247,2
897,805,1248,2
898,1742,1249,2
899,1742,1250,2
900,1742,1251,2
901,1742,1252,2
902,1760,1264,2
903,1762,35,2
904,1762,1265,2
905,57,1266,2
906,1764,1266,2
907,1773,1271,2
908,151,1273,2
909,1777,1273,2
910,1778,1273,2
911,1779,1273,2
912,981,1275,2
913,981,1276,2
914,981,1277,2
915,981,1278,2
916,981,1279,2
917,981,1280,2
918,1787,1275,2
919,1787,1276,2
920,1787,1277,2
921,1787,1278,2
922,1787,1279,2
923,1787,1280,2
924,1801,1293,2
925,1801,1294,2
926,1804,1293,2
927,1804,1294,2
928,1808,1296,2
929,1808,1297,2
930,1808,1298,2
931,1819,1307,2
932,1824,1311,2
933,1826,525,2
934,1835,1316,2
935,1835,1317,2
936,1835,1318,2
937,1835,1319,2
938,1845,1327,2
939,1845,35,2
940,1846,1328,2
941,1849,1330,2
942,1851,1331,2
943,1852,1331,2
944,1853,1331,2
945,151,1339,2
946,151,1340,2
947,151,1341,2
948,1872,1342,2
949,1872,1343,2
950,1872,1344,2
951,1872,1345,2
952,1893,1360,2
953,1893,1361,2
954,1893,29,2
955,1900,1362,2
956,1900,1363,2
957,1900,1364,2
958,1900,1365,2
959,1901,1362,2
960,1901,1363,2
961,1901,1364,2
962,1901,1365,2
963,1904,1366,2
964,1904,1367,2
965,1904,1368,2
966,112,1378,2
967,1923,1386,2
968,1923,1387,2
969,1924,1386,2
970,1924,1387,2
971,1938,75,2
972,1938,1397,2
973,1938,914,2
974,1938,1398,2
975,1938,1399,2
976,66,1400,2
977,1945,623,2
978,1945,567,2
979,1946,623,2
980,1946,567,2
981,1947,1405,2
982,1960,1410,2
983,1960,1411,2
984,1960,1412,2
985,1960,1413,2
986,1965,1414,2
987,1972,1417,2
988,1168,1419,2
989,1168,1207,2
990,1974,1419,2
991,1974,1207,2
992,312,1419,2
993,312,1207,2
994,1975,1419,2
995,1975,1207,2
996,1976,1420,2
997,1985,1428,2
998,1985,1429,2
999,1985,1430,2
1000,1996,1438,2
1001,1996,1439,2
1002,1996,1440,2
1003,1996,1441,2
1004,1996,1442,2
1005,2003,1443,2
1006,2003,1444,2
1007,2003,1445,2
1008,2003,1446,2
1009,2003,1447,2
1010,2003,1448,2
1011,2003,1449,2
1012,2005,1443,2
1013,2005,1444,2
1014,2005,1445,2
1015,2005,1446,2
1016,2005,1447,2
1017,2005,1448,2
1018,2005,1449,2
1019,2015,1450,2
1020,2015,1451,2
1021,2015,1452,2
1022,2015,1453,2
1023,2015,1454,2
1024,2015,1455,2
1025,2023,15,2
1026,2023,1461,2
1027,2024,15,2
1028,2024,1461,2
1029,2025,15,2
1030,2025,1461,2
1031,2027,15,2
1032,2027,75,2
1033,2027,1462,2
1034,2037,1470,2
1035,2037,1471,2
1036,2037,1472,2
1037,119,1470,2
1038,119,1471,2
1039,119,1472,2
1040,57,1474,2
1041,57,35,3
1042,57,1475,2
1043,57,422,3
1044,2045,642,2
1045,2046,15,2
1046,2046,75,2
1047,2047,15,2
1048,2047,75,2
1049,2055,1485,2
1050,2056,1485,2
1051,2065,1490,2
1052,2065,1491,2
1053,2065,1492,2
1054,2065,1493,2
1055,2065,1494,2
1056,2065,1495,2
1057,2069,1496,2
1058,2069,1497,2
1059,2069,1498,2
1060,2070,1496,2
1061,2070,1497,2
1062,2070,1498,2
1063,2085,1508,2
1064,2085,1509,2
1065,2085,1510,2
1066,2088,1511,2
1067,2089,1512,2
1068,2090,1512,2
1069,805,1512,2
1070,2095,1516,2
1071,2095,1517,2
1072,335,1523,2
1073,335,1524,2
1074,335,1525,2
1075,2108,1528,2
1076,2108,1529,2
1077,143,1534,2
1078,143,1535,2
1079,143,1536,2
1080,2117,1537,2
1081,2118,1537,2
1082,2122,1538,2
1083,2122,1539,3
1084,2124,1540,2
1085,2125,1540,2
1086,2133,1543,2
1087,2133,1544,2
1088,2133,1545,2
1089,2133,1546,2
1090,2133,1547,2
1091,2133,1548,2
1092,2138,1549,2
1093,2140,1345,2
1094,2140,914,2
1095,2140,1550,2
1096,2160,1563,2
1097,2164,1564,2
1098,2164,1565,2
1099,2164,1566,2
1100,2164,1567,2
1101,2185,35,2
1102,2185,109,2
1103,476,35,2
1104,476,109,2
1105,2191,1587,2
1106,2193,1588,2
1107,2193,1589,2
1108,2193,1590,2
1109,2202,1593,2
1110,2202,75,2
1111,2202,1594,2
1112,2202,1595,2
1113,2202,422,2
1114,2202,1596,2
1115,2202,1597,2
1116,2202,1598,2
1117,2206,1599,2
1118,1612,15,2
1119,2224,1612,2
1120,2224,1613,2
1121,2224,1614,2
1122,2224,1615,2
1123,2224,1616,2
1124,374,1617,2
1125,374,1618,2
1126,2229,1619,2
1127,2229,75,2
1128,2229,1620,2
1129,246,1621,3
1130,2240,1625,2
1131,2240,1626,2
1132,2240,340,2
1133,2240,407,2
1134,2241,1625,2
1135,2241,1626,2
1136,2241,340,2
1137,2241,407,2
1138,1309,579,2
1139,1309,458,2
1140,1309,1628,2
1141,1309,1629,2
1142,1309,308,3
1143,2244,579,2
1144,2244,458,2
1145,2244,1628,2
1146,2244,1629,2
1147,2244,308,2
1148,2164,1630,2
1149,2251,1631,2
1150,2251,1632,2
1151,2252,1631,2
1152,2252,1632,2
1153,2261,1639,2
1154,2262,1639,2
1155,2286,1660,2
1156,2286,1661,2
1157,2286,1041,2
1158,2286,1662,2
1159,2287,422,2
1160,103,1666,2
1161,103,1667,2
1162,2293,15,2
1163,2293,75,2
1164,2294,15,2
1165,2294,75,2
1166,2295,15,2
1167,2295,75,2
1168,2301,1672,2
1169,2301,1673,2
1170,2301,1674,2
1171,2308,1676,2
1172,2308,1677,2
1173,2308,1678,2
1174,644,1676,2
1175,644,1677,2
1176,644,1678,2
1177,365,1676,2
1178,365,1677,2
1179,365,1678,2
1180,2317,1685,2
1181,2329,1692,2
1182,2329,1693,2
1183,2329,1694,2
1184,2330,1692,2
1185,2330,1693,2
1186,2330,1694,2
1187,320,1699,2
1188,320,1700,2
1189,2337,1699,2
1190,2337,1700,2
1191,2338,1699,2
1192,2338,1700,2
1193,2339,1699,2
1194,2339,1700,2
1195,2340,1699,2
1196,2340,1700,2
1197,2345,1703,2
1198,2352,1704,2
1199,2353,1705,2
1200,2353,1706,2
1201,2355,1705,2
1202,2355,1706,2
1203,2356,1705,2
1204,2356,1706,2
1205,2357,1705,2
1206,2357,1706,2
1207,2360,1707,2
1208,2374,1720,2
1209,2377,1721,2
1210,2398,1742,2
1211,2403,570,2
1212,2403,395,2
1213,2404,570,2
1214,2404,395,2
1215,2405,570,2
1216,2405,395,2
1217,2406,570,2
1218,2406,395,2
1219,2408,1747,2
1220,2408,1748,2
1221,2408,1749,2
1222,2408,1750,2
1223,2413,1747,2
1224,2413,1748,2
1225,2413,1749,2
1226,2413,1750,2
1227,2414,1747,2
1228,2414,1748,2
1229,2414,1749,2
1230,2414,1750,2
1231,209,1755,2
1232,209,1756,2
1233,209,965,2
1234,209,1757,2
1235,209,1758,2
1236,209,1759,2
1237,209,1760,2
1238,2438,1773,2
1239,2438,1774,2
1240,2438,1775,2
1241,374,1776,2
1242,2444,579,2
1243,2444,1778,2
1244,2446,579,2
1245,2446,1778,2
1246,1726,1780,2
1247,0,0,3
1248,15,12,2
1249,15,13,2
1250,18,14,2
1251,18,15,2
1252,18,16,2
1253,19,14,2
1254,19,15,2
1255,19,16,2
1256,24,17,2
1257,27,18,2
1258,31,22,2
1259,32,22,2
1260,60,42,2
1261,60,43,2
1262,60,44,2
1263,60,45,2
1264,60,46,2
1265,60,47,2
1266,60,48,2
1267,60,49,2
1268,60,50,2
1269,68,53,2
1270,68,54,2
1271,68,55,2
1272,68,56,2
1273,70,57,2
1274,70,58,2
1275,75,59,2
1276,75,60,2
1277,77,63,2
1278,77,64,2
1279,77,65,2
1280,77,66,2
1281,95,79,2
1282,95,80,3
1283,98,82,2
1284,98,83,2
1285,102,86,2
1286,108,88,3
1287,108,89,3
1288,108,90,3
1289,108,91,3
1290,108,93,3
1291,123,103,2
1292,124,103,2
1293,125,103,2
1294,131,109,2
1295,131,110,2
1296,152,25,3
1297,152,123,3
1298,152,124,3
1299,153,25,2
1300,153,123,2
1301,153,124,2
1302,157,125,2
1303,157,126,2
1304,157,127,2
1305,157,128,2
1306,161,129,2
1307,161,130,2
1308,162,129,2
1309,162,130,2
1310,141,131,2
1311,141,132,2
1312,141,133,3
1313,141,134,2
1314,168,135,2
1315,141,135,2
1316,177,143,2
1317,179,144,2
1318,188,145,2
1319,188,146,2
1320,188,147,2
1321,188,148,2
1322,188,149,2
1323,197,155,2
1324,198,155,2
1325,199,155,2
1326,207,156,2
1327,207,157,2
1328,207,158,2
1329,207,159,2
1330,207,160,2
1331,207,161,2
1332,207,162,2
1333,207,164,2
1334,213,167,2
1335,214,167,2
1336,131,168,2
1337,131,169,2
1338,131,170,2
1339,234,183,2
1340,234,184,2
1341,234,185,2
1342,237,183,3
1343,237,184,3
1344,237,185,3
1345,240,187,2
1346,240,189,2
1347,242,190,2
1348,242,191,2
1349,242,192,2
1350,242,193,2
1351,242,194,2
1352,242,195,2
1353,242,196,2
1354,253,197,2
1355,253,26,2
1356,254,197,2
1357,254,26,2
1358,280,217,2
1359,280,218,2
1360,141,217,2
1361,141,218,2
1362,283,217,2
1363,283,218,2
1364,285,219,2
1365,293,226,2
1366,299,227,2
1367,299,228,2
1368,299,229,2
1369,299,230,2
1370,302,232,2
1371,306,233,2
1372,313,238,2
1373,313,239,2
1374,321,25,2
1375,321,246,2
1376,322,247,2
1377,322,248,2
1378,322,249,2
1379,330,250,2
1380,330,251,2
1381,330,252,2
1382,330,253,2
1383,330,254,2
1384,337,257,2
1385,337,258,2
1386,339,259,2
1387,339,260,2
1388,340,259,2
1389,340,260,2
1390,342,259,2
1391,342,260,2
1392,349,265,2
1393,354,26,2
1394,354,268,2
1395,354,269,2
1396,354,270,2
1397,361,273,2
1398,361,274,2
1399,361,275,2
1400,364,276,2
1401,367,277,3
1402,384,25,2
1403,384,286,2
1404,386,25,2
1405,386,286,2
1406,131,297,2
1407,404,297,2
1408,406,297,2
1409,407,297,2
1410,95,309,2
1411,95,310,2
1412,95,311,2
1413,95,312,2
1414,95,313,2
1415,95,314,2
1416,427,315,2
1417,427,316,2
1418,188,317,2
1419,188,318,2
1420,188,320,2
1421,188,321,2
1422,188,322,2
1423,188,323,2
1424,451,332,2
1425,455,333,2
1426,455,334,2
1427,455,335,2
1428,141,333,2
1429,141,334,2
1430,141,335,2
1431,458,333,2
1432,458,334,2
1433,458,335,2
1434,262,333,2
1435,262,334,2
1436,262,335,2
1437,463,337,2
1438,463,338,2
1439,463,339,2
1440,467,340,2
1441,467,341,2
1442,467,342,2
1443,469,343,2
1444,469,344,2
1445,469,345,2
1446,469,346,2
1447,469,347,2
1448,471,343,2
1449,471,344,2
1450,471,345,2
1451,471,346,2
1452,471,347,2
1453,481,353,2
1454,481,354,2
1455,489,361,2
1456,188,361,2
1457,490,361,2
1458,491,361,2
1459,493,361,2
1460,494,361,2
1461,497,363,2
1462,503,368,2
1463,503,369,2
1464,509,373,2
1465,514,376,2
1466,514,377,2
1467,514,378,2
1468,514,379,2
1469,141,383,2
1470,141,384,2
1471,527,385,2
1472,527,386,2
1473,527,387,2
1474,537,395,2
1475,538,395,2
1476,540,396,2
1477,541,396,2
1478,542,396,2
1479,550,400,2
1480,550,401,2
1481,563,407,2
1482,563,408,2
1483,563,409,2
1484,565,407,2
1485,565,408,2
1486,565,409,2
1487,567,410,2
1488,567,25,2
1489,567,411,2
1490,579,420,2
1491,580,420,2
1492,559,420,2
1493,589,424,2
1494,177,424,2
1495,597,431,2
1496,601,432,2
1497,601,433,2
1498,601,434,2
1499,601,435,2
1500,141,432,2
1501,141,433,2
1502,141,434,2
1503,141,435,2
1504,603,432,2
1505,603,433,2
1506,603,434,2
1507,603,435,2
1508,605,436,2
1509,605,437,2
1510,608,439,2
1511,608,440,2
1512,608,441,2
1513,608,442,2
1514,611,439,2
1515,611,440,2
1516,611,441,2
1517,611,442,2
1518,617,446,2
1519,617,447,2
1520,617,448,2
1521,619,446,2
1522,619,447,2
1523,619,448,2
1524,624,449,2
1525,624,450,2
1526,626,451,2
1527,628,452,2
1528,628,454,2
1529,628,455,2
1530,628,456,3
1531,628,457,2
1532,131,452,2
1533,131,454,2
1534,131,455,2
1535,131,456,3
1536,131,457,2
1537,632,452,2
1538,632,454,2
1539,632,455,2
1540,632,456,3
1541,632,457,2
1542,633,452,2
1543,633,454,2
1544,633,455,2
1545,633,456,3
1546,633,457,2
1547,240,452,2
1548,240,454,2
