Source,Target,Type,Weight
1,2704,Directed,30
1,2814,Directed,12
2,2704,Directed,11
1,2783,Directed,9
1,2740,Directed,9
1,3455,Directed,9
2,3455,Directed,8
1,2690,Directed,7
1,2746,Directed,7
8,3202,Directed,7
1,3139,Directed,7
1,2845,Directed,7
2,2783,Directed,6
1,2901,Directed,6
1,2917,Directed,6
1,2918,Directed,6
385,3039,Directed,6
1,3039,Directed,6
1,3301,Directed,6
1,2722,Directed,5
1,2741,Directed,5
1,2911,Directed,5
1,2919,Directed,5
2,2919,Directed,5
196,2988,Directed,5
1,3079,Directed,5
1,3080,Directed,5
1,3081,Directed,5
405,3079,Directed,5
405,3080,Directed,5
405,3081,Directed,5
44,3079,Directed,5
44,3080,Directed,5
44,3081,Directed,5
1,2803,Directed,5
32,3202,Directed,5
1,3207,Directed,5
1,2853,Directed,5
1,3114,Directed,5
21,2988,Directed,5
1,3868,Directed,5
2,2690,Directed,4
1,2747,Directed,4
1,2748,Directed,4
1,2749,Directed,4
1,2751,Directed,4
1,2763,Directed,4
1,2815,Directed,4
2,2853,Directed,4
1,2900,Directed,4
