Source,Target,Type,Weight
1,1180,Directed,7
1,1107,Directed,4
1,1193,Directed,4
1,1216,Directed,4
1,1311,Directed,4
54,1311,Directed,4
1,1321,Directed,4
54,1180,Directed,4
1,1506,Directed,4
1,1344,Directed,4
39,1107,Directed,4
1,1659,Directed,4
1,1108,Directed,3
1,1110,Directed,3
1,1114,Directed,3
1,1141,Directed,3
1,1190,Directed,3
159,1190,Directed,3
160,1190,Directed,3
1,1195,Directed,3
54,1193,Directed,3
1,1204,Directed,3
221,1240,Directed,3
221,1241,Directed,3
221,1242,Directed,3
221,1243,Directed,3
221,1244,Directed,3
221,1245,Directed,3
221,1246,Directed,3
221,1247,Directed,3
1,1252,Directed,3
1,1253,Directed,3
1,1254,Directed,3
246,1256,Directed,3
1,1256,Directed,3
30,1279,Directed,3
1,1307,Directed,3
1,1309,Directed,3
1,1313,Directed,3
29,1311,Directed,3
23,1317,Directed,3
24,1317,Directed,3
54,1333,Directed,3
383,1360,Directed,3
383,1361,Directed,3
1,1333,Directed,3
428,1405,Directed,3
428,1406,Directed,3
428,1407,Directed,3
14,1430,Directed,3
1,1430,Directed,3
1,1505,Directed,3
535,1505,Directed,3
536,1505,Directed,3
1,1512,Directed,3
586,1515,Directed,3
471,1517,Directed,3
1,1525,Directed,3
622,1562,Directed,3
1,1594,Directed,3
1,1597,Directed,3
54,1659,Directed,3
49,1668,Directed,3
716,1668,Directed,3
1,1444,Directed,3
1,1734,Directed,3
39,1110,Directed,3
39,1756,Directed,3
1,1418,Directed,3
846,1800,Directed,3
847,1800,Directed,3
277,1800,Directed,3
1,1800,Directed,3
848,1800,Directed,3
410,1800,Directed,3
883,1828,Directed,3
884,1828,Directed,3
1,1860,Directed,3
94,1444,Directed,3
94,1789,Directed,3
49,1444,Directed,3
49,1789,Directed,3
970,1921,Directed,3
53,1921,Directed,3
971,1921,Directed,3
972,1921,Directed,3
991,1193,Directed,3
991,1937,Directed,3
991,1195,Directed,3
991,1938,Directed,3
991,1357,Directed,3
1051,1977,Directed,3
1051,1978,Directed,3
686,1995,Directed,3
1,1073,Directed,2
1,1074,Directed,2
1,1075,Directed,2
2,1073,Directed,2
2,1074,Directed,2
2,1075,Directed,2
