Source,Target,Type,Weight
2,944,Directed,2
4,945,Directed,2
4,946,Directed,2
24,958,Directed,2
65,981,Directed,2
65,982,Directed,2
65,983,Directed,2
80,993,Directed,2
81,993,Directed,2
82,993,Directed,2
127,1015,Directed,2
155,1033,Directed,2
155,1034,Directed,2
178,1046,Directed,2
197,1053,Directed,2
197,1054,Directed,2
222,1076,Directed,2
155,1089,Directed,2
155,1090,Directed,2
155,1091,Directed,2
109,1107,Directed,2
109,1108,Directed,2
365,1156,Directed,2
222,1158,Directed,2
222,1159,Directed,2
222,1160,Directed,2
371,1158,Directed,2
371,1159,Directed,2
371,1160,Directed,2
2,1174,Directed,2
2,1175,Directed,2
371,1126,Directed,2
371,1183,Directed,2
371,1184,Directed,2
127,1126,Directed,2
127,1183,Directed,2
127,1184,Directed,2
81,1202,Directed,2
365,1087,Directed,2
365,1203,Directed,2
114,1087,Directed,2
114,1203,Directed,2
178,1208,Directed,2
118,1255,Directed,2
118,1256,Directed,2
118,1257,Directed,2
118,1258,Directed,2
118,1259,Directed,2
114,1266,Directed,2
121,1277,Directed,2
570,1277,Directed,2
114,1294,Directed,2
114,1295,Directed,2
114,1296,Directed,3
114,1297,Directed,2
114,1298,Directed,2
184,1321,Directed,2
184,1322,Directed,2
275,1330,Directed,2
178,1335,Directed,2
178,1336,Directed,2
178,1076,Directed,2
275,1341,Directed,2
365,1341,Directed,2
687,1344,Directed,2
269,1360,Directed,2
305,1369,Directed,2
275,1371,Directed,2
759,1381,Directed,2
787,1400,Directed,2
787,1401,Directed,2
80,1173,Directed,2
804,1407,Directed,2
804,1408,Directed,2
804,1409,Directed,2
371,1420,Directed,2
371,1421,Directed,2
371,1422,Directed,2
371,1478,Directed,2
305,1501,Directed,2
184,1527,Directed,2
184,1528,Directed,2
184,1529,Directed,2
724,1550,Directed,2
724,1551,Directed,2
4,1550,Directed,2
4,1551,Directed,2
687,1581,Directed,2
687,1582,Directed,2
687,1583,Directed,2
1091,1588,Directed,2
1104,1594,Directed,4
1104,1595,Directed,2
1104,1596,Directed,4
1107,1594,Directed,4
1107,1595,Directed,2
1107,1596,Directed,4
1109,1594,Directed,4
1109,1595,Directed,2
1109,1596,Directed,4
266,1628,Directed,2
547,1630,Directed,2
1104,1633,Directed,3
1107,1633,Directed,3
1109,1633,Directed,3
547,1562,Directed,2
759,1656,Directed,2
759,1657,Directed,2
183,1668,Directed,2
82,1670,Directed,2
490,1670,Directed,2
142,1685,Directed,2
804,1689,Directed,2
570,1689,Directed,2
1020,1748,Directed,2
1020,1749,Directed,2
1020,1750,Directed,2
792,1542,Directed,2
1020,1810,Directed,2
1020,1811,Directed,2
1020,1812,Directed,2
787,1816,Directed,2
787,1817,Directed,2
787,1818,Directed,2
183,1825,Directed,2
183,1826,Directed,2
490,1831,Directed,2
490,1832,Directed,2
490,1833,Directed,2
80,1847,Directed,2
1517,1849,Directed,2
1517,1850,Directed,2
1520,1849,Directed,2
1520,1850,Directed,2
275,1857,Directed,2
275,1858,Directed,2
275,1859,Directed,2
197,1885,Directed,2
197,1886,Directed,2
197,1887,Directed,2
197,1888,Directed,2
197,1156,Directed,2
197,1025,Directed,2
804,1894,Directed,3
792,1906,Directed,2
1622,1923,Directed,2
1622,1924,Directed,2
1622,1925,Directed,2
269,1937,Directed,3
269,1938,Directed,3
682,1940,Directed,2
682,1941,Directed,2
682,1942,Directed,2
178,1972,Directed,2
178,1973,Directed,2
178,1974,Directed,2
547,1980,Directed,2
178,1390,Directed,3
4,2007,Directed,2
65,2014,Directed,2
792,2038,Directed,2
792,999,Directed,2
792,1836,Directed,2
1037,2066,Directed,3
1037,2067,Directed,5
1037,2069,Directed,3
1517,2073,Directed,2
1517,2074,Directed,2
931,2077,Directed,2
547,2109,Directed,2
931,2129,Directed,2
24,2129,Directed,2
80,2130,Directed,2
178,2142,Directed,2
178,1025,Directed,2
178,2143,Directed,2
178,2144,Directed,2
178,2145,Directed,2
365,2151,Directed,2
371,2161,Directed,2
371,2162,Directed,2
371,2163,Directed,2
2,2161,Directed,2
2,2162,Directed,2
2,2163,Directed,2
118,2161,Directed,2
118,2162,Directed,2
118,2163,Directed,2
2,2151,Directed,2
2,2164,Directed,2
1091,2182,Directed,2
178,2183,Directed,2
178,2168,Directed,2
371,2186,Directed,2
371,2187,Directed,2
682,2208,Directed,2
682,2209,Directed,2
759,2210,Directed,2
759,2211,Directed,2
759,2212,Directed,2
222,2219,Directed,2
222,1025,Directed,2
222,2220,Directed,2
490,2255,Directed,3
80,2258,Directed,2
197,2274,Directed,2
197,2275,Directed,2
127,2279,Directed,2
1622,2285,Directed,2
1622,2286,Directed,2
1622,2288,Directed,2
1622,2289,Directed,2
1622,2290,Directed,2
365,1510,Directed,2
365,2294,Directed,2
1622,1156,Directed,2
178,1156,Directed,2
469,2342,Directed,2
469,2343,Directed,2
469,2344,Directed,2
469,2345,Directed,2
