Source,Target,Type,Weight
31,874,Directed,2
31,875,Directed,2
31,876,Directed,2
31,877,Directed,2
48,885,Directed,2
48,886,Directed,2
86,912,Directed,2
86,913,Directed,2
86,914,Directed,2
130,942,Directed,2
171,976,Directed,2
171,896,Directed,4
171,934,Directed,2
171,953,Directed,2
235,1020,Directed,2
261,866,Directed,2
261,1039,Directed,2
300,1065,Directed,2
300,1066,Directed,2
300,1067,Directed,2
300,898,Directed,2
48,874,Directed,2
48,1073,Directed,2
339,1089,Directed,2
339,1090,Directed,2
339,1091,Directed,2
339,1092,Directed,2
339,1093,Directed,2
339,1094,Directed,2
127,1101,Directed,2
350,1102,Directed,2
356,1105,Directed,2
359,1105,Directed,2
378,1117,Directed,2
378,1118,Directed,2
378,1119,Directed,2
378,1120,Directed,2
446,1168,Directed,2
446,1169,Directed,2
446,1170,Directed,2
466,875,Directed,2
466,876,Directed,2
466,1061,Directed,2
469,978,Directed,2
469,1180,Directed,2
472,1184,Directed,2
472,1185,Directed,2
392,1184,Directed,2
392,1185,Directed,2
469,1216,Directed,2
469,1217,Directed,2
469,1218,Directed,2
469,1219,Directed,3
469,1220,Directed,2
469,1221,Directed,2
235,1246,Directed,2
235,898,Directed,2
578,1256,Directed,2
578,1257,Directed,2
578,1258,Directed,2
584,1263,Directed,2
584,1264,Directed,2
127,1278,Directed,2
127,1279,Directed,2
631,1156,Directed,2
631,874,Directed,2
631,1300,Directed,2
356,1156,Directed,2
356,874,Directed,2
356,1300,Directed,2
635,1303,Directed,2
635,1304,Directed,2
635,1305,Directed,2
635,1306,Directed,2
635,1307,Directed,2
130,1303,Directed,2
130,1304,Directed,2
130,1305,Directed,2
130,1306,Directed,2
130,1307,Directed,2
648,1314,Directed,2
261,1314,Directed,2
659,1320,Directed,2
665,874,Directed,2
667,1326,Directed,2
667,1327,Directed,2
667,1328,Directed,2
672,1326,Directed,2
672,1327,Directed,2
672,1328,Directed,2
743,1381,Directed,2
743,1382,Directed,2
130,1389,Directed,2
130,1390,Directed,2
130,1391,Directed,2
130,1393,Directed,2
130,1394,Directed,2
130,1395,Directed,2
766,1396,Directed,2
766,1397,Directed,2
766,934,Directed,2
780,1405,Directed,2
780,1406,Directed,2
780,1407,Directed,2
780,1408,Directed,2
127,1413,Directed,2
127,953,Directed,2
127,934,Directed,2
812,1428,Directed,2
835,1444,Directed,3
835,898,Directed,3
850,1453,Directed,2
850,1454,Directed,2
850,1455,Directed,2
672,1456,Directed,2
672,1458,Directed,2
672,1459,Directed,2
86,1462,Directed,2
86,1463,Directed,2
86,1464,Directed,2
584,898,Directed,2
877,1477,Directed,2
877,1478,Directed,2
