Source,Target,Type,Weight
37,330,Directed,2
37,331,Directed,2
44,332,Directed,2
44,333,Directed,2
46,332,Directed,2
46,333,Directed,2
37,350,Directed,2
37,351,Directed,2
37,352,Directed,2
37,353,Directed,2
37,322,Directed,2
37,354,Directed,2
86,368,Directed,2
86,369,Directed,2
46,422,Directed,2
37,423,Directed,2
37,424,Directed,2
37,425,Directed,2
37,426,Directed,2
37,427,Directed,2
37,428,Directed,2
37,429,Directed,2
37,430,Directed,2
198,463,Directed,2
198,464,Directed,2
198,465,Directed,2
46,385,Directed,2
46,484,Directed,2
46,485,Directed,2
46,486,Directed,2
46,487,Directed,2
246,500,Directed,2
246,501,Directed,2
246,502,Directed,2
257,511,Directed,2
257,513,Directed,2
257,514,Directed,2
257,515,Directed,2
257,516,Directed,2
257,517,Directed,2
293,544,Directed,2
293,545,Directed,2
44,473,Directed,2
44,556,Directed,2
362,598,Directed,2
362,599,Directed,2
134,629,Directed,2
403,632,Directed,2
403,634,Directed,2
403,635,Directed,2
46,685,Directed,2
46,686,Directed,2
46,687,Directed,2
46,688,Directed,2
46,689,Directed,2
46,690,Directed,2
46,698,Directed,2
134,705,Directed,2
37,710,Directed,2
37,711,Directed,2
37,712,Directed,2
498,717,Directed,2
523,736,Directed,2
523,316,Directed,2
523,737,Directed,2
37,736,Directed,2
37,316,Directed,2
37,737,Directed,2
548,753,Directed,2
548,754,Directed,2
548,755,Directed,2
548,756,Directed,2
548,757,Directed,2
564,769,Directed,2
564,770,Directed,2
564,771,Directed,2
589,785,Directed,2
589,787,Directed,2
589,788,Directed,2
589,789,Directed,2
589,790,Directed,2
589,791,Directed,2
589,792,Directed,2
589,793,Directed,2
333,873,Directed,2
333,874,Directed,2
333,875,Directed,2
246,929,Directed,2
766,938,Directed,2
766,939,Directed,2
564,951,Directed,2
564,952,Directed,2
564,1031,Directed,2
564,547,Directed,2
564,1032,Directed,2
564,1033,Directed,2
926,1078,Directed,2
926,1079,Directed,2
926,1081,Directed,2
523,1151,Directed,2
1020,1160,Directed,2
1020,1161,Directed,2
1020,1162,Directed,2
1020,1163,Directed,2
1020,668,Directed,2
589,1169,Directed,2
589,1170,Directed,2
589,1171,Directed,2
589,1172,Directed,2
498,1189,Directed,2
498,1190,Directed,2
1086,1224,Directed,3
1086,1225,Directed,3
1086,1226,Directed,3
1086,1227,Directed,3
1086,427,Directed,3
1086,1228,Directed,3
1086,1229,Directed,3
1086,1230,Directed,3
1086,1231,Directed,3
1086,1232,Directed,3
246,1238,Directed,2
246,1239,Directed,2
1122,1254,Directed,2
1122,1255,Directed,2
1122,1256,Directed,2
1122,1257,Directed,2
362,437,Directed,2
362,1259,Directed,2
362,1260,Directed,2
362,336,Directed,2
362,1261,Directed,2
293,437,Directed,2
293,1259,Directed,2
293,1260,Directed,2
293,336,Directed,2
293,1261,Directed,2
1122,916,Directed,2
1020,1295,Directed,2
1020,1296,Directed,2
1020,1297,Directed,2
1020,1298,Directed,2
1020,1299,Directed,2
1020,1300,Directed,2
548,1329,Directed,2
548,1330,Directed,2
548,1331,Directed,2
548,1332,Directed,2
548,1333,Directed,2
1303,1414,Directed,3
1303,1415,Directed,3
1303,1416,Directed,3
1303,1417,Directed,3
37,437,Directed,2
37,1418,Directed,2
37,1419,Directed,2
37,1420,Directed,2
37,1421,Directed,2
403,1475,Directed,2
44,1561,Directed,2
86,1134,Directed,2
86,1591,Directed,2
86,1592,Directed,2
86,1593,Directed,2
86,1594,Directed,2
46,1650,Directed,2
46,1651,Directed,2
46,1652,Directed,2
1086,1650,Directed,2
1086,1651,Directed,2
1086,1652,Directed,2
362,1650,Directed,2
362,1651,Directed,2
362,1652,Directed,2
926,1699,Directed,2
576,1706,Directed,2
576,1707,Directed,2
576,1708,Directed,2
46,1729,Directed,2
46,1730,Directed,2
46,1016,Directed,2
46,1731,Directed,2
46,1732,Directed,2
257,1729,Directed,2
257,1730,Directed,2
257,1016,Directed,2
257,1731,Directed,2
257,1732,Directed,2
548,316,Directed,2
1086,1383,Directed,2
1086,1771,Directed,2
1086,1772,Directed,2
1086,1773,Directed,2
1086,322,Directed,3
1086,1774,Directed,2
198,1782,Directed,2
37,1790,Directed,2
37,1791,Directed,2
1086,1796,Directed,2
1086,842,Directed,2
37,842,Directed,2
134,437,Directed,2
134,1883,Directed,2
134,1884,Directed,2
134,1885,Directed,2
1086,1917,Directed,2
1086,336,Directed,2
1086,316,Directed,2
498,1950,Directed,2
576,1955,Directed,2
576,1956,Directed,2
576,1957,Directed,2
