Source,Target,Type,Weight
8,3816,Directed,16
8,3817,Directed,16
8,3818,Directed,16
8,3905,Directed,2
8,3906,Directed,2
8,3908,Directed,2
8,3910,Directed,2
8,3922,Directed,2
8,3962,Directed,2
8,3963,Directed,2
8,3993,Directed,2
8,3996,Directed,2
8,4004,Directed,2
8,4005,Directed,2
8,4007,Directed,2
8,4008,Directed,2
8,4009,Directed,2
8,4025,Directed,2
8,4026,Directed,2
8,4027,Directed,2
8,4028,Directed,2
8,4029,Directed,2
8,4030,Directed,2
8,4082,Directed,3
8,4086,Directed,2
8,4109,Directed,2
8,4179,Directed,2
8,4192,Directed,2
8,4193,Directed,2
8,4208,Directed,2
8,4228,Directed,3
8,4317,Directed,2
8,4332,Directed,2
8,4396,Directed,2
8,4403,Directed,3
8,4422,Directed,2
8,4423,Directed,2
8,4424,Directed,2
8,4441,Directed,2
8,4455,Directed,2
8,4469,Directed,2
8,4488,Directed,2
8,4509,Directed,2
8,4522,Directed,2
8,4523,Directed,2
8,4549,Directed,2
8,4048,Directed,3
8,4557,Directed,2
8,4564,Directed,2
8,4565,Directed,2
8,4566,Directed,2
8,4590,Directed,2
8,4591,Directed,2
8,4615,Directed,2
8,4644,Directed,2
8,4645,Directed,2
8,4651,Directed,2
8,4652,Directed,2
8,4661,Directed,2
8,4662,Directed,2
8,4669,Directed,2
8,4670,Directed,2
8,4671,Directed,2
8,4684,Directed,3
8,4739,Directed,2
8,4740,Directed,2
8,4741,Directed,2
8,4742,Directed,2
8,4749,Directed,2
8,4750,Directed,2
8,4751,Directed,2
8,4752,Directed,2
8,4762,Directed,2
8,4763,Directed,2
8,4764,Directed,2
8,4810,Directed,2
8,4811,Directed,2
8,4812,Directed,2
8,4813,Directed,2
8,4814,Directed,2
8,4815,Directed,2
8,4830,Directed,2
8,4848,Directed,2
8,4849,Directed,2
8,3872,Directed,2
8,3948,Directed,2
8,4853,Directed,2
8,4854,Directed,2
8,4855,Directed,2
8,4859,Directed,2
8,4860,Directed,2
8,4925,Directed,2
8,5027,Directed,2
8,5028,Directed,2
8,4327,Directed,2
8,5029,Directed,2
8,5030,Directed,2
8,5031,Directed,2
8,5055,Directed,2
8,5080,Directed,2
8,5081,Directed,2
8,5082,Directed,2
8,5083,Directed,2
8,5084,Directed,2
8,5085,Directed,2
8,5104,Directed,2
8,4609,Directed,2
8,5118,Directed,2
8,5119,Directed,2
8,5120,Directed,2
8,3984,Directed,2
8,5172,Directed,2
